Trial:	Sub01ShoulderFly_game_rotation_vector_t3.txt
Phone/Tablet Model:	HUAWEI BLN-L24
Sensor Information
Name:	AOSP Game Rotation Vector Sensor
Maximum Range:	1.0 
Resolution:	5.9604645E-8 

Generated by SensorData, Version1.5.2
Author: Vipul Lugade
Email: SensorDataHelp@gmail.com
Website: www.matlabgeeks.com

Time	X*sin(θ/2)	Y*sin(θ/2)	Z*sin(θ/2)	cos(θ/2)
1512060321169	0.10734506696462631	-0.12019314616918564	-0.6968168020248413	0.6989113092422485
1512060321189	0.11851246654987335	-0.10631607472896576	-0.6971635818481445	0.6990098357200623
1512060321209	0.12993668019771576	-0.09343601763248444	-0.6971887350082397	0.6987947821617126
1512060321229	0.13181008398532867	-0.08702529221773148	-0.6978611946105957	0.6986003518104553
1512060321249	0.1284121721982956	-0.08482810854911804	-0.6988826394081116	0.6984823346138
1512060321269	0.12391930818557739	-0.08431964367628098	-0.6995601654052734	0.6986772418022156
1512060321289	0.11829948425292969	-0.08570995926856995	-0.7001078724861145	0.698933482170105
1512060321309	0.11286809295415878	-0.08814975619316101	-0.7005396485328674	0.699095606803894
1512060321329	0.10833347588777542	-0.09152872860431671	-0.70091712474823	0.6990004181861877
1512060321349	0.10439309477806091	-0.09484285861253738	-0.7011744976043701	0.698900043964386
1512060321369	0.10152065008878708	-0.09768303483724594	-0.7011286020278931	0.6989781260490417
1512060321389	0.09831765294075012	-0.10043628513813019	-0.7010862231254578	0.6990882158279419
1512060321409	0.09382069110870361	-0.10308311879634857	-0.7012001872062683	0.6992066502571106
1512060321429	0.08662634342908859	-0.10666635632514954	-0.7012910842895508	0.6995062828063965
1512060321449	0.07602138072252274	-0.1118192970752716	-0.7016573548316956	0.6995671987533569
1512060321469	0.066549152135849	-0.11628977209329605	-0.7016680240631104	0.6997928023338318
1512060321489	0.059329040348529816	-0.11942073702812195	-0.7011650800704956	0.7004187107086182
1512060321509	0.05367617309093475	-0.12196241319179535	-0.7001986503601074	0.7014028429985046
1512060321529	0.04956123232841492	-0.12372178584337234	-0.6989357471466064	0.702656090259552
1512060321549	0.04659949243068695	-0.12500731647014618	-0.6975367069244385	0.7040201425552368
1512060321569	0.0441034734249115	-0.12634415924549103	-0.6961930990219116	0.7052710652351379
1512060321589	0.041557081043720245	-0.1275978684425354	-0.6947020888328552	0.7066688537597656
1512060321609	0.038002487272024155	-0.130213662981987	-0.6931765675544739	0.7078887224197388
1512060321629	0.03461406007409096	-0.13314223289489746	-0.6916280388832092	0.7090315818786621
1512060321649	0.03327804431319237	-0.1386154443025589	-0.6896030306816101	0.7100183367729187
1512060321669	0.03231265768408775	-0.1461086869239807	-0.6874348521232605	0.7106627225875854
1512060321689	0.03046569414436817	-0.15730510652065277	-0.6848264932632446	0.71087247133255
1512060321709	0.027262985706329346	-0.171724334359169	-0.681643545627594	0.7107247114181519
1512060321728	0.02362065389752388	-0.18730193376541138	-0.6778743267059326	0.7105255126953125
1512060321749	0.018890289589762688	-0.20441819727420807	-0.6733885407447815	0.7102142572402954
1512060321769	0.01172863133251667	-0.22693748772144318	-0.6677349209785461	0.7088667154312134
1512060321789	0.0017768323887139559	-0.25346267223358154	-0.6610102653503418	0.706271231174469
1512060321809	-0.009200608357787132	-0.2802964448928833	-0.6534878611564636	0.7030668258666992
1512060321829	-0.021141447126865387	-0.30799224972724915	-0.6450800895690918	0.6989747285842896
1512060321849	-0.03727686405181885	-0.3392070233821869	-0.6344964504241943	0.6935151219367981
1512060321869	-0.05677254870533943	-0.37053313851356506	-0.6233089566230774	0.6862711310386658
1512060321889	-0.07967758178710938	-0.400934100151062	-0.6105253100395203	0.6783525347709656
1512060321909	-0.10285280644893646	-0.4292404055595398	-0.5970162749290466	0.6698848009109497
1512060321929	-0.12404901534318924	-0.45440050959587097	-0.5831345319747925	0.6618807315826416
1512060321949	-0.14327827095985413	-0.4773944020271301	-0.569035530090332	0.6540370583534241
1512060321969	-0.161928191781044	-0.4982687532901764	-0.5549217462539673	0.6461960077285767
1512060321989	-0.18215595185756683	-0.5201387405395508	-0.5389821529388428	0.6370033025741577
1512060322009	-0.2004687339067459	-0.5382773280143738	-0.5244545936584473	0.6285039782524109
1512060322029	-0.21891085803508759	-0.5552645325660706	-0.5100425481796265	0.6193674206733704
1512060322049	-0.23773795366287231	-0.5710927248001099	-0.495616614818573	0.6096704006195068
1512060322068	-0.25576674938201904	-0.584705650806427	-0.48148712515830994	0.600726842880249
1512060322089	-0.2726655900478363	-0.5957505106925964	-0.4676569402217865	0.5933226346969604
1512060322109	-0.2874378561973572	-0.6050029397010803	-0.45422428846359253	0.587393581867218
1512060322129	-0.30013811588287354	-0.6128940582275391	-0.4414365589618683	0.5825906991958618
1512060322149	-0.3114885687828064	-0.6199989318847656	-0.42905139923095703	0.5783520936965942
1512060322169	-0.3219836950302124	-0.6265280246734619	-0.4169950783252716	0.5743729472160339
1512060322189	-0.3317665159702301	-0.6325724124908447	-0.40519121289253235	0.5706165432929993
1512060322209	-0.34046801924705505	-0.638297438621521	-0.39353421330451965	0.5672643184661865
1512060322229	-0.3473575711250305	-0.6433118581771851	-0.38227465748786926	0.5651182532310486
1512060322249	-0.3523745834827423	-0.6470584869384766	-0.3715684115886688	0.5648756623268127
1512060322269	-0.3563794493675232	-0.6492460370063782	-0.36144691705703735	0.5664180517196655
1512060322288	-0.3593307435512543	-0.6498429179191589	-0.3521047830581665	0.5697437524795532
1512060322309	-0.3613389730453491	-0.6494645476341248	-0.34339389204978943	0.5742042660713196
1512060322329	-0.3629223108291626	-0.6492644548416138	-0.33518528938293457	0.5782680511474609
1512060322349	-0.36438462138175964	-0.6492316722869873	-0.32748520374298096	0.5817865133285522
1512060322369	-0.3660968244075775	-0.6488693952560425	-0.3201102316379547	0.585210382938385
1512060322389	-0.3681395947933197	-0.6483721733093262	-0.3131636679172516	0.5882307887077332
1512060322409	-0.3705931603908539	-0.6476794481277466	-0.3064284026622772	0.5909938812255859
1512060322429	-0.3726106882095337	-0.6469794511795044	-0.30006635189056396	0.59375
1512060322450	-0.3742668330669403	-0.6461130380630493	-0.2943509519100189	0.5965064764022827
1512060322469	-0.37596726417541504	-0.6452065110206604	-0.28901082277297974	0.5990241169929504
1512060322489	-0.37814614176750183	-0.6441100835800171	-0.2841329872608185	0.601162314414978
1512060322508	-0.38083335757255554	-0.6427462100982666	-0.27964648604393005	0.6030265688896179
1512060322529	-0.3841600716114044	-0.6411246657371521	-0.27524471282958984	0.6046656370162964
1512060322549	-0.38769766688346863	-0.6389532089233398	-0.27131155133247375	0.6064811944961548
1512060322569	-0.3912442624568939	-0.6366828680038452	-0.26772597432136536	0.6081823110580444
1512060322589	-0.3950822055339813	-0.6341879367828369	-0.2641938328742981	0.609850287437439
1512060322609	-0.39896315336227417	-0.6318541765213013	-0.26108354330062866	0.6110843420028687
1512060322629	-0.4031977355480194	-0.6293849945068359	-0.25827035307884216	0.6120477914810181
1512060322649	-0.40717920660972595	-0.6271344423294067	-0.2559105455875397	0.6127130389213562
1512060322669	-0.41152486205101013	-0.6245224475860596	-0.25380587577819824	0.6133527159690857
1512060322689	-0.41602930426597595	-0.6218502521514893	-0.2520810663700104	0.6137402057647705
1512060322709	-0.4207415282726288	-0.6191322803497314	-0.2505268156528473	0.6139121055603027
1512060322728	-0.42533811926841736	-0.6164664626121521	-0.24917036294937134	0.6139795184135437
1512060322749	-0.4296058714389801	-0.6136252880096436	-0.24815379083156586	0.6142659187316895
1512060322769	-0.4335523247718811	-0.6107296347618103	-0.24732209742069244	0.6147142052650452
1512060322791	-0.4369986057281494	-0.6079659461975098	-0.24676428735256195	0.6152374148368835
1512060322809	-0.4402206242084503	-0.6054628491401672	-0.2463240623474121	0.6155851483345032
1512060322829	-0.4431955814361572	-0.603217363357544	-0.24605952203273773	0.6157606840133667
1512060322849	-0.44581300020217896	-0.6013734340667725	-0.24590590596199036	0.615736186504364
1512060322869	-0.448251336812973	-0.5999864339828491	-0.246004119515419	0.6152796745300293
1512060322889	-0.4507133364677429	-0.599007248878479	-0.24629922211170197	0.6143163442611694
1512060322909	-0.4530070126056671	-0.5982117652893066	-0.24662253260612488	0.6132737398147583
1512060322929	-0.45456063747406006	-0.5977388024330139	-0.24726291000843048	0.6123267412185669
1512060322948	-0.4555654525756836	-0.5972698926925659	-0.2482391893863678	0.6116421222686768
1512060322969	-0.45615801215171814	-0.5966347455978394	-0.24967531859874725	0.6112357378005981
1512060322989	-0.45605793595314026	-0.59616619348526	-0.2511957585811615	0.6111446022987366
1512060323009	-0.45575985312461853	-0.5956193804740906	-0.2529175281524658	0.611190140247345
1512060323047	-0.45560771226882935	-0.5954872965812683	-0.2544935345649719	0.6107779145240784
1512060323064	-0.45573142170906067	-0.5958816409111023	-0.2560970187187195	0.6096295714378357
1512060323078	-0.4556608200073242	-0.5961687564849854	-0.25768157839775085	0.6087334752082825
1512060323092	-0.456391304731369	-0.5970884561538696	-0.2591259181499481	0.6066680550575256
1512060323109	-0.45815351605415344	-0.5988649129867554	-0.2602817118167877	0.6030833125114441
1512060323129	-0.4609783887863159	-0.6012111306190491	-0.26114046573638916	0.5982054471969604
1512060323149	-0.46523603796958923	-0.6041303277015686	-0.2618122100830078	0.5916386842727661
1512060323169	-0.4705626368522644	-0.6072067618370056	-0.2623300850391388	0.5839982032775879
1512060323189	-0.4769156277179718	-0.6103555560112	-0.26273566484451294	0.5753151774406433
