Trial:	Sub01ShoulderFly_gyroscope_t4.txt
Phone/Tablet Model:	HUAWEI BLN-L24
Sensor Information
Name:	STMicroelectronics gyroscope
Maximum Range:	34.906586rad/sec
Resolution:	0.0012217305rad/sec

Generated by SensorData, Version1.5.2
Author: Vipul Lugade
Email: SensorDataHelp@gmail.com
Website: www.matlabgeeks.com

Time	X	Y	Z
1512060361907	-0.0757472887635231	0.018325956538319588	0.004886921960860491
1512060361927	0.04764748737215996	-0.01466076634824276	0.1270599663257599
1512060361948	-0.03298672288656235	-0.14538592100143433	0.11850785464048386
1512060361969	-0.10995574295520782	-0.29077184200286865	0.11362093687057495
1512060361989	-0.21013765037059784	-0.3078760802745819	0.11972958594560623
1512060362009	-0.2993239760398865	-0.24190263450145721	0.07330382615327835
1512060362028	-0.2687807083129883	-0.15393804013729095	0.09040805697441101
1512060362049	-0.18936823308467865	-0.06475171446800232	0.09285151958465576
1512060362068	-0.16004669666290283	0.0	0.0708603709936142
1512060362089	-0.1270599663257599	0.039095375686883926	0.0806342139840126
1512060362108	-0.10873401165008545	0.021991148591041565	0.07819075137376785
1512060362128	-0.09651670604944229	-0.009773843921720982	0.05619960278272629
1512060362149	-0.09651670604944229	-0.18936823308467865	0.10018189996480942
1512060362168	-0.08429940044879913	-0.3628539443016052	0.11972958594560623
1512060362213	-0.0659734457731247	-0.4911356568336487	0.14049901068210602
1512060362229	-0.042760565876960754	-0.4691445231437683	0.15271630883216858
1512060362243	-0.0354301854968071	-0.3982841372489929	0.17104226350784302
1512060362257	0.036651913076639175	-0.4337143301963806	0.19425514340400696
1512060362270	0.019547687843441963	-0.5644394755363464	0.19547687470912933
1512060362288	-0.06352998316287994	-0.6548475623130798	0.18936823308467865
1512060362308	-0.09651670604944229	-0.6438519954681396	0.19425514340400696
1512060362328	-0.12095131725072861	-0.5998696684837341	0.2064724564552307
1512060362348	-0.11239920556545258	-0.50335294008255	0.22846360504627228
1512060362368	-0.07452555745840073	-0.39095374941825867	0.2125810980796814
1512060362388	-0.028099801391363144	-0.31642818450927734	0.1820378452539444
1512060362409	0.019547687843441963	-0.28099802136421204	0.15882496535778046
1512060362428	0.16737708449363708	-0.25045475363731384	0.17837265133857727
1512060362448	0.30054569244384766	-0.2638937830924988	0.1722639948129654
1512060362468	0.38240164518356323	-0.27611109614372253	0.16982053220272064
1512060362488	0.48380526900291443	-0.294437050819397	0.16982053220272064
1512060362508	0.626747727394104	-0.3225368559360504	0.19547687470912933
1512060362528	0.8002334833145142	-0.4911356568336487	0.24556782841682434
1512060362548	0.9859365224838257	-0.7929030656814575	0.32986724376678467
1512060362568	1.1276572942733765	-0.9993755221366882	0.39217549562454224
1512060362588	1.243721604347229	-1.3243558406829834	0.4862487316131592
1512060362608	1.1924089193344116	-1.63467538356781	0.5827654600143433
1512060362628	1.018923282623291	-1.8008307218551636	0.6585127115249634
1512060362649	0.8930850028991699	-1.9755382537841797	0.7354817390441895
1512060362668	0.7916813492774963	-2.372600555419922	0.8491026759147644
1512060362688	0.5424483418464661	-2.671924591064453	1.0238101482391357
1512060362708	0.304210901260376	-2.646268129348755	1.1789699792861938
1512060362728	0.18570303916931152	-2.448347806930542	1.264491081237793
1512060362748	0.19058994948863983	-2.168571710586548	1.2693779468536377
1512060362769	0.23090706765651703	-2.146580457687378	1.2779301404953003
1512060362788	0.21991148591041565	-2.2064452171325684	1.2986994981765747
1512060362808	0.18936823308467865	-2.1587977409362793	1.312138557434082
1512060362829	0.05619960278272629	-2.14902400970459	1.3927727937698364
1512060362848	-0.04642575979232788	-2.370157241821289	1.4489723443984985
1512060362871	-0.12217304855585098	-2.4410176277160645	1.4746286869049072
1512060362889	-0.042760565876960754	-2.1172590255737305	1.4172073602676392
1512060362908	-0.015882495790719986	-1.7812830209732056	1.380555510520935
1512060362928	0.012217304669320583	-1.605353832244873	1.3365731239318848
1512060362949	-0.045204028487205505	-2.163684606552124	1.263269305229187
1512060362968	0.039095375686883926	-2.1978931427001953	1.1203268766403198
1512060362988	0.06841690838336945	-2.1111502647399902	1.0115928649902344
1512060363009	0.17837265133857727	-1.8216001987457275	0.9004153609275818
1512060363028	0.2431243658065796	-1.5222761631011963	0.8087855577468872
1512060363048	0.28466320037841797	-1.313360333442688	0.7464773058891296
1512060363068	0.31031954288482666	-1.187522053718567	0.6633996367454529
1512060363089	0.32131510972976685	-1.1630873680114746	0.5705481171607971
1512060363108	0.33719760179519653	-1.281595230102539	0.4447098970413208
1512060363128	0.2883284091949463	-1.5748106241226196	0.3139847218990326
1512060363148	0.2541199326515198	-1.6578882932662964	0.2431243658065796
1512060363169	0.2431243658065796	-1.6139060258865356	0.18814650177955627
1512060363188	0.1918116807937622	-1.4269812107086182	0.19792033731937408
